store_id,dept_id,store_type,status,reorder_point_usd,safety_stock_usd,simulated_inventory_usd,excess_value_inr
1,1,A,Healthy,41485.47559129905,3438.876068222134,44531.10219267453,0.0
1,2,A,Healthy,98126.07785921899,4425.369347680543,146602.46450581175,0.0
1,3,A,Healthy,49280.01352590159,14890.298279747743,65757.06090866243,0.0
1,4,A,Healthy,80761.78435565757,4711.999271042198,99903.99848901237,0.0
1,5,A,Understocked,49308.22690508782,8367.498032010897,45062.473366852304,0.0
1,6,A,Understocked,10279.893263008827,2547.282582239598,9394.547734036472,0.0
1,7,A,Understocked,51201.18472242453,8361.518772424539,43131.93109979747,0.0
1,8,A,Healthy,78984.32822488812,3603.600694118893,113129.93150878338,0.0
1,9,A,Healthy,71215.21918773517,10753.576549273626,88222.40759256949,0.0
1,10,A,Healthy,68818.61536835958,5683.708945282651,90626.75159517478,0.0
1,11,A,Understocked,65902.4357004847,13537.234127407773,53712.243427969726,0.0
1,12,A,Overstocked,26225.19996557668,3541.4183424997586,39548.498242179136,17487.958386571583
1,13,A,Healthy,84934.76039456608,4002.5829907199363,119561.22916983355,0.0
1,14,A,Understocked,31212.45952458204,3930.5201476589605,29808.134524863584,0.0
1,16,A,Understocked,62300.58466357553,9081.061528960152,58109.76301817003,0.0
1,17,A,Understocked,18196.923558665454,1979.303762511602,16993.839274598096,0.0
1,18,A,Healthy,9430.816036147047,3081.9886302646964,9639.207244274232,0.0
1,19,A,Healthy,2820.994810312011,565.5173103120109,3337.4405225776554,0.0
1,20,A,Healthy,10121.798642443096,1530.6924693661722,11289.043081364809,0.0
1,21,A,Healthy,16004.983533075458,1142.605521536996,16206.602669511978,0.0
1,22,A,Healthy,16068.412154642654,2191.419904642652,20031.728001713695,0.0
1,23,A,Understocked,45593.967095382504,4846.278318459431,41118.03097588727,0.0
1,24,A,Healthy,17289.11073609731,5214.066882251159,17518.46104990089,0.0
1,25,A,Healthy,23293.579563329364,3724.779297944751,24864.59513504611,0.0
1,26,A,Healthy,17419.551733147367,5396.84901776275,19735.15170584108,0.0
1,27,A,Healthy,2731.3053587020636,490.3230625482174,3750.569663901702,0.0
1,28,A,Understocked,1112.2238633638904,222.37497105619812,1051.8989108365074,0.0
1,29,A,Healthy,8800.298661329043,995.2380690213497,10343.793076249072,0.0
1,30,A,Healthy,8078.039754643831,1874.030977720757,9955.882163818433,0.0
1,31,A,Understocked,7610.69110231436,2291.590171545129,6346.622294085938,0.0
1,32,A,Healthy,16959.65057910445,3557.2611406429123,21089.456794832535,0.0
1,33,A,Understocked,15921.152663277477,4368.525351739012,14718.828772999777,0.0
1,34,A,Understocked,26587.15225129401,3035.2224474478526,22532.283524064056,0.0
1,35,A,Healthy,5668.126876565593,958.3624150271314,8460.736141290176,0.0
1,36,A,Overstocked,5660.34855180839,2149.480040269929,8518.322973841874,2307.4121287310463
1,37,A,Healthy,6474.902947456892,844.1480705338151,9000.957249551508,0.0
1,38,A,Healthy,170765.8194407366,17008.3285791981,174585.51808383936,0.0
1,40,A,Understocked,120003.44425500443,4284.58467038902,104559.07816856002,0.0
1,41,A,Healthy,2235.6154005455055,539.7868082378129,2905.1601013280847,0.0
1,42,A,Healthy,18076.166319100303,1931.3170921772228,20269.00992358101,0.0
1,44,A,Understocked,11746.403460915903,1766.3936455312878,10443.585319958409,0.0
1,45,A,Healthy,7888.761843288638,7820.049223288638,9162.632355970161,0.0
1,46,A,Understocked,42299.906832216846,3072.7409322168382,34901.806270441644,0.0
1,47,A,Healthy,7820.049223288638,7820.049223288638,11447.018500548496,0.0
1,48,A,Understocked,4028.592321331007,2152.8592293310066,3983.9127612200514,0.0
1,49,A,Healthy,26497.37756954935,4431.568800318581,34013.12733087997,0.0
1,52,A,Healthy,5242.141276429202,1081.2346456599716,5386.557474893941,0.0
1,54,A,Healthy,176.07915813714493,74.93057118062318,207.711718230135,0.0
1,55,A,Healthy,22653.10334002528,3434.277416948355,27163.30232418293,0.0
1,56,A,Understocked,6880.945886243532,997.6111900896855,6433.297367865405,0.0
1,58,A,Overstocked,13513.49070950001,6085.286836423089,20375.59775494039,8745.020327301001
1,59,A,Healthy,550.5162526819873,139.3336411435258,751.9209507363157,0.0
1,60,A,Healthy,2388.8565753195376,419.9067176272304,3549.444863820422,0.0
1,67,A,Healthy,21438.53635695847,6593.946203112315,31154.994825867874,0.0
1,71,A,Healthy,6384.225030651656,1324.0957729593495,7893.883472224157,0.0
1,72,A,Healthy,106168.07990474618,22135.989293207702,156382.2046594215,0.0
1,74,A,Understocked,27654.353626546384,3895.06881885408,23909.941051117523,0.0
1,79,A,Understocked,86548.61047248052,15504.295803249737,81621.18080370575,0.0
1,80,A,Understocked,41505.309012789134,2482.1927666352835,34574.58320972238,0.0
1,81,A,Healthy,65102.054121323956,2600.19980209318,67542.8044415397,0.0
1,82,A,Healthy,43305.21174809343,2594.2165827088247,46931.34860059973,0.0
1,83,A,Understocked,13201.67354251021,1616.4926117409818,13176.389607503468,0.0
1,85,A,Healthy,7936.644242924933,1502.735889078781,11150.81358440177,0.0
1,87,A,Healthy,114548.2621310786,11012.41585030937,121470.40541989196,0.0
1,90,A,Healthy,186806.63977629843,8920.689799375335,187756.0269999269,0.0
1,91,A,Healthy,142983.41504245342,8159.993834761148,171032.20572305738,0.0
1,92,A,Understocked,298311.1210527401,17723.2654719709,269337.5592232604,0.0
1,93,A,Healthy,167048.07981472262,13290.837395491815,231462.45349751323,0.0
1,94,A,Understocked,145826.2802345147,13558.140057591632,124597.17761915586,0.0
1,95,A,Overstocked,281263.02812491823,17223.136217225863,427640.03248972015,476875.6950944528
1,96,A,Healthy,81570.90472452044,6944.107920674289,111241.39806484041,0.0
1,97,A,Understocked,81424.56124807007,6007.339874993133,76951.29514133884,0.0
1,98,A,Understocked,25723.250497886766,2326.244644040605,20682.29456380525,0.0
1,99,A,Healthy,1188.2152965929408,691.7156899262744,1657.9011697165945,0.0
2,1,A,Healthy,58907.921368489515,4490.45380695104,77523.1697807754,0.0
2,2,A,Healthy,139065.6341834969,6636.050664266092,185259.7935747901,0.0
2,3,A,Healthy,70841.53698427128,26336.45898042514,96558.95264384267,0.0
2,4,A,Understocked,97346.86595062765,5585.47190831996,83139.34355480729,0.0
2,5,A,Healthy,57323.882020733756,9928.278301502982,60859.61802261724,0.0
2,6,A,Understocked,12458.881481637507,2260.743150868277,11020.932367719053,0.0
2,7,A,Healthy,81350.70830696063,11431.516483883725,116336.8414226835,0.0
2,8,A,Healthy,124696.03789287536,5963.668500567656,156494.47930855688,0.0
2,9,A,Healthy,82308.80245106334,11160.367885678712,85729.19067695261,0.0
2,10,A,Understocked,84300.86695504747,5344.645905047502,71352.05110691937,0.0
2,11,A,Healthy,58598.67470551873,10376.728763211027,60181.84065826463,0.0
2,12,A,Healthy,18012.493311560036,1682.2211038677303,18685.869210765515,0.0
2,13,A,Healthy,96275.381313789,3860.9776099428054,128297.77756175841,0.0
2,14,A,Healthy,43298.354111311826,5128.079215157982,54790.47137661638,0.0
2,16,A,Healthy,74991.77092164438,13962.022887028992,108562.98470485034,0.0
2,17,A,Healthy,29643.33365739614,3005.229311242291,33933.22487265886,0.0
2,18,A,Understocked,15870.694157154252,4511.375374801305,14082.127226900262,0.0
2,19,A,Healthy,8684.124906495206,1443.2774718798212,11468.851904636456,0.0
2,20,A,Healthy,13333.475772399894,1564.4164070152804,18071.834197948276,0.0
2,21,A,Healthy,19567.03012637901,2084.6789186866986,23670.869419990308,0.0
2,22,A,Healthy,25982.987001380447,3395.6739475342965,35409.77165823707,0.0
2,23,A,Healthy,64110.95307115491,8111.618167308747,74398.88805976402,0.0
2,24,A,Healthy,22328.82564847382,5848.3745984738225,26383.627970621943,0.0
2,25,A,Healthy,33256.65584862526,4505.202675548336,36984.89137026658,0.0
2,26,A,Understocked,20752.368366966748,4812.333286197514,16986.974863258256,0.0
2,27,A,Understocked,3477.7126783878516,645.4572168493895,3056.077372697381,0.0
2,28,A,Understocked,1256.7380029517747,218.02516833639015,1034.2241263610929,0.0
2,29,A,Healthy,13625.138043115507,1294.2463738847387,17230.0716195402,0.0
2,30,A,Healthy,10475.061243046544,1353.582585354238,10783.864646778762,0.0
