store_id,dept_id,store_type,date,week_of_year,weekly_sales,predicted_sales,abs_error,ape,low_confidence_ape
1,1,A,2012-05-04,18,17147.44,18341.214799999987,1193.7747999999883,6.961825205395024,False
1,1,A,2012-05-11,19,18164.2,17904.16315,260.0368500000004,1.4315898855991478,False
1,1,A,2012-05-18,20,18517.79,18993.63380000001,475.84380000000965,2.5696576103304425,False
1,1,A,2012-05-25,21,16963.55,20452.62215,3489.07215,20.568054151401093,False
1,1,A,2012-06-01,22,16065.49,17854.03749999999,1788.5474999999915,11.132853713145328,False
1,1,A,2012-06-08,23,17666.0,16477.194750000002,1188.8052499999976,6.729340258122934,False
1,1,A,2012-06-15,24,17558.82,17908.306949999984,349.48694999998406,1.99037833977445,False
1,1,A,2012-06-22,25,16633.41,18399.495149999984,1766.0851499999844,10.617697453498618,False
1,1,A,2012-06-29,26,15722.82,16670.38119999999,947.5611999999892,6.026661883809579,False
1,1,A,2012-07-06,27,17823.37,16652.46525,1170.9047499999979,6.56949134759587,False
1,1,A,2012-07-13,28,16566.18,18327.544449999998,1761.3644499999973,10.632290908344574,False
1,1,A,2012-07-20,29,16348.06,16559.398799999995,211.3387999999959,1.2927454389083226,False
1,1,A,2012-07-27,30,15731.18,17172.112400000005,1440.9324000000051,9.159722284024499,False
1,1,A,2012-08-03,31,16628.31,16235.286850000002,393.0231499999991,2.3635784394204764,False
1,1,A,2012-08-10,32,16119.92,16692.300049999994,572.3800499999943,3.550762348696484,False
1,1,A,2012-08-17,33,17330.7,16045.519900000005,1285.180099999996,7.415627181821829,False
1,1,A,2012-08-24,34,16286.4,18407.96044999999,2121.5604499999918,13.026577082719273,False
1,1,A,2012-08-31,35,16680.24,16777.757700000006,97.51770000000397,0.5846300772650991,False
1,1,A,2012-09-07,36,18322.37,17644.028100000003,678.3418999999958,3.702260679158841,False
1,1,A,2012-09-14,37,19616.22,19340.62780000001,275.59219999999186,1.4049200100732548,False
1,1,A,2012-09-21,38,19251.5,21725.781850000007,2474.2818500000067,12.852410721242535,False
1,1,A,2012-09-28,39,18947.81,21251.574799999995,2303.7647999999936,12.158475306644903,False
1,1,A,2012-10-05,40,21904.47,20944.914200000014,959.5557999999874,4.380639202865841,False
1,1,A,2012-10-12,41,22764.01,23738.877800000002,974.8678000000036,4.282495922291388,False
1,1,A,2012-10-19,42,24185.27,24887.44105,702.1710500000008,2.9033004386554326,False
1,1,A,2012-10-26,43,27390.81,29201.152900000016,1810.3429000000142,6.609307647346005,False
1,2,A,2012-05-04,18,50501.3,49974.53855000001,526.7614499999909,1.0430651290164625,False
1,2,A,2012-05-11,19,46717.76,45987.144299999985,730.6157000000167,1.56389283219062,False
1,2,A,2012-05-18,20,44411.23,46632.62765000002,2221.3976500000135,5.00188274452208,False
1,2,A,2012-05-25,21,45817.07,45736.633299999994,80.43670000000566,0.1755605498125604,False
1,2,A,2012-06-01,22,47425.29,48356.87099999998,931.5809999999765,1.9643127116354513,False
1,2,A,2012-06-08,23,49439.58,47258.19070000002,2181.3892999999807,4.412232668643182,False
1,2,A,2012-06-15,24,46637.48,46798.02759999999,160.5475999999835,0.34424587263287704,False
1,2,A,2012-06-22,25,46075.0,46965.21625000002,890.2162500000195,1.93210255018995,False
1,2,A,2012-06-29,26,47629.14,46880.32129999999,748.8187000000107,1.5721860608862783,False
1,2,A,2012-07-06,27,49771.92,48221.55174999997,1550.3682500000286,3.114945636013296,False
1,2,A,2012-07-13,28,44411.95,47063.452399999995,2651.5023999999976,5.9702453956649,False
1,2,A,2012-07-20,29,45108.22,45953.94484999998,845.7248499999769,1.8748796782492787,False
1,2,A,2012-07-27,30,45008.22,46089.21370000004,1080.9937000000355,2.401769498993818,False
1,2,A,2012-08-03,31,49424.06,48333.237749999986,1090.822250000012,2.2070672664285618,False
1,2,A,2012-08-10,32,46729.91,46787.905299999984,57.99529999998049,0.12410745066699354,False
1,2,A,2012-08-17,33,46350.97,46885.423450000024,534.4534500000227,1.1530577461486193,False
1,2,A,2012-08-24,34,44972.52,47375.8309,2403.310900000004,5.343954263625886,False
1,2,A,2012-08-31,35,50995.5,49345.175199999976,1650.324800000024,3.236216528909461,False
